曲線と曲面の微分幾何・小林昭七・裳華房,"良い点
・図や具体例が多い
・演習問題に回答がついている悪い点
・微分形式や接ベクトルの定義が曖昧に感じた(多様体を定義してないため仕方ないかもしれない)ので厳密にやりた
い人には向いてないかも","適している点
・ほどよく行間がある","1章〜2章の最初を事前ゼミ、そこから3章の最後までをRSでやりましたがちょうど良かったと思います。
3章の最後(測地線)が結構難しかったです。
1章のFenchelの定理もなかなかイメージを文章から正しく読み取るのが難しかったように思いまし
た。",B1レベルの微分積分、線形代数
流体力学  巽友正  培風館,良い・一般論、基礎方程式の導出が最初に書かれているため分野の概要が割と早い段階で掴めるということと各定理に対して例が載っていて分かりやすかった。,適している。前述のように各定理に例が載っているためその定理の別側面について考察しやすくなっているのでリレーセミナーでの発表が教科書の読み上げになりにくい。,"前述のようにリレーセミナーにおいて適している部分は第2章以降のため第1章は予習か事前ゼミのほうが良い。行間の広さは6節水の流れの非線形現象周りがだいぶ広かったがそれ以外は行間は
少ない方だと感じた。",基本的な複素関数論、偏微分方程式
トポロジーの基礎・河澄響矢,"○行間がない、一般論から書いていて良い付録が充実していた
△図が少ない、気持ちの説明が少ない",同上,証明よりも具体例を扱うイメージを自分たちで補う,位相空間論と群論の初歩細かい圏論に馴染みがある方が良い
Basic Category Theory,圏論の中ではかなり初歩的なところを,,,
TOM LEINSTER,扱ってくれ、初学者にとってベストだと思,,,特にないが、集合論の素養が必要。また、
ArXivに落ちてます。日本語訳,われました。しかし、少しいい加減な記,同上,通常通り,具体例(特に代数)を多く知っているとわか
は丸善出版で、それを使って,述があり、悩む場面がいくつかありまし,,,りやすいと思いました。
いる人もいました。,た。concepts of dual という表現など。,,,
"リー群と表現論,小林俊之・大島利雄,岩波書店","良:さまざまな分野が書かれていて目的に沿って読むところを選べる
悪:分厚い&重い",同上,今回は3章の関数解析よりのところを扱ったが、関数解析の事実を認めれば行間はそこまで無かったように感じた。指標の偉さが身に染みた。,位相群の話を取り扱ったので、線形代数・多少の群論・多少の位相空間論・多少の関数解析
"Quantum field theory, mark srednicki, Cambridge","良い点
はじめの方は行間が少なく、英語が平易で読みやすい
悪い点
だんだんと行間がデカくなる","適している点
はじめの行間は少なく、章分けも細かいので回しやすかった
適していない点
進むにつれて良くわからない記述もあり、強い人がいないと回らなくなりそう",ファインマンダイアグラムが現れるところが読み甲斐あった。それ以降は難しかった,量子力学、解析力学、特殊相対論
非平衡系の統計力学・北原和夫・岩波基礎物理シリーズ,"良い点
一般的な非平衡系統計力学の教科書と流れが異なり、流体力学の非平衡系への拡張から始まる。非平衡系への新たなアプローチを知ることができる。
悪い点
誤植が多い。また、一般的な非平衡統計力学の話が４章以降から始まるた
め、それまでに期待外れ感を抱く人はい
そう。","適している点
誤植が多く、また行間もちょうどよくある。考えさせられる文章で、内容に関して議論しやすい。
適していない点なし",途中計算を丁寧に追っていくスタイルが良いと思われる。,熱力学、統計力学は必須。流体力学、解析力学はあるとスムーズ。
"SGC173 一歩進んだ理解を目指す物性物理学講義
加藤岳生 著サイエンス社","物性物理学の主要トピックの概要がコンパクトにまとまっているのが良い．
ところどころ難しすぎる部分がガッツリ飛ばされているので，行間を埋めたい場合はその箇所を他の本をしっかり読ん で補う必要がある．",初学者でも事前ゼミをすれば7章の超伝導までRSで読むことができる程度によくまとまっているので，初学だが超伝導をやってみたい人には向いている． ただ，概説するために難しすぎる箇所は飛ばしているため，埋まらない行間がある．,"7章の超伝導の章．
難しいところは飛ばしながらではあるが，BCS理論とGL理論を扱い，Meissner効果や第一種，第二種超伝導体の臨界磁場の導出など，超伝導でよく聞く現象について式を通した理解ができる．
行間があるので，余力があれば他の本を使ったりして知らない知識を共有できて良いと思う．
また，第二量子化を用いた記述になっているので素粒子の場の理論をやっている人はそれとのつながりを話すと面白い．","量子力学，統計力学．
場の理論の初歩を少しやったことがあれば，第二量子化の記述がわかりやすい．"
"代数幾何学入門: 代数学の基
礎を出発点として•永井保成•森北出版",トピックが良い。良いところでもあるが、説明がながい。,,予習なしで読む。,特になし。
,,,,
,,,,
,,,,
『基幹講座  物理学  解析力学』・畑浩之・東京図書,"厚くはないが非常に勉強になって良い。内容が省略されて行間が広過ぎると感じるところもあって真面目に読むのはやや負担が大き過ぎると感じた。また、9章の微分形式が凝縮され過ぎていて初学の場合これだけだとかなり厳しい。
同著者の問題集等も使用して補わないと自力",,上にも書いたが行間が広過ぎるところが所々ある。9章の微分形式は挫折しやすそう。,学部教養程度の微分積分、一部複素解析（留数定理を用いた積分）
,,,,
,,レーセミナーで読む意味は乏しい。,,
,,,,
,,,,
,,,,
"①鳥谷部祥一『生物物理学』、日本評論社
②望月敦史『理論生物学概論』、共立出版","①良い点：物理の人間ではあまり持ってない化学平衡や力学系の内容を書いてくれている。章ごとがほどよく独立していて読みたいところだけ読める。
悪い点：文章が冗長。誤植も数か所あった。生物の知識が無いと難しく感じる。
②良い点：生物学の立場から数理モデルを紹介してる。
悪い点：数学の知識が無いと難しい。",両者ともほぼオムニバス形式で扱ったのだが、押さえる所を押さえておけば各論的に読めるので、適していると思う。,各自が読みたい所を読むスタイルで上手く行ったので、これがいいと思う。,熱力学と簡単な生化学の知識(高校の生物基礎ぐらい)
統計力学I・田崎晴明・培風館非平衡統計力学・沙川貴大・共立出版,"田崎統計Iは読みやすかった。悪い点は思い浮かばなかった。
沙川非平衡統計力学は薄いが、巻末付録数式行間を追っていると思っていたより時間がかかってしまった()",章によって重さが違うのだが、機械的に章ごとに割り振ってしまい発表時間に偏りがでてしまった。,各章ごとの重さを事前にチェックしておく。,熱力学、量子力学
『代数的トポロジー』，枡田幹也，朝倉書店,"単体複体のホモロジー，特異ホモロ
ジー，胞体複体のホモロジー，特異コホモロジーなど幅広く解説されている点が良いと感じました．一方で，代数的(群論
・ホモロジー代数的)な解説が不足気味であると感じました．",河澄先生の本と比べると難易度は低いように(個人的には)感じ，また幾何学的なイメージについても随所で述べられており楽しく読める点がよいと感じました．一方で，やはり代数的な説明が不足していることから，代数的な面について別の本を副読本として読んだ方がより理解が深まるという点はやや不満な点としてあげられると思いました．,"今回は単体複体のホモロジー，特異ホモロジー，胞体複体のホモロジー，特異コホモロジーをそれぞれ1人ずつが担当する形でセミナーを行いまし た．これだとやや量が多く終わり切らなかった部分がありますが，代数トポロジーについて広く学べるのでよいと思いました．胞体複体やコホモロジーは長くて難解な証明が多いため，難易度が高いと感じました．こうした点について班員の知識レベルも加味しながら担当範囲を決めるのが良いと思いま
す．",群論は前提知識になると感じました
